SEASON,PLAYER_NAME,got_dpoy_votes
2015-16,Kawhi Leonard,1
2015-16,Draymond Green,1
2015-16,Hassan Whiteside,1
2015-16,DeAndre Jordan,1
2015-16,Paul Millsap,1
2016-17,Draymond Green,1
2016-17,Rudy Gobert,1
2016-17,Kawhi Leonard,1
2016-17,Robert Covington,1
2016-17,Lebron James,1
2016-17,Andre Roberson,1
2016-17,Hassan Whiteside,1
2018-19,Rudy Gobert,1
2018-19,Giannis Antetokounmpo,1
2018-19,Paul George,1
2018-19,Joel Embiid,1
2018-19,Myles Turner,1
2019-20,Giannis Antetokounmpo,1
2019-20,Anthony Davis,1
2019-20,Rudy Gobert,1
2019-20,Ben Simmons,1
2019-20,Bam Adebayo,1
2022-23,Jaren Jackson Jr.,1
2022-23,Brook Lopez,1
2022-23,Evan Mobley,1
2022-23,Draymond Green,1
2022-23,Bam Adebayo,1
2023-24,Rudy Gobert,1
2023-24,Victor Wembanyama,1
2023-24,Bam Adebayo,1
2023-24,Anthony Davis,1
2023-24,Herbert Jones,1
2025-26,Victor Wembanyama,1
2025-26,Chet Holmgren,1
2025-26,Ausar Thompson,1
2025-26,Rudy Gobert,1
2025-26,Scottie Barnes,1
