,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,DEF_RATING,DREB,DREB_PCT,PCT_DREB,STL,PCT_STL,BLK,PCT_BLK,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,DEF_WS,DEF_WS_RAW,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,DEF_RATING_RANK,DREB_RANK,DREB_PCT_RANK,PCT_DREB_RANK,STL_RANK,PCT_STL_RANK,BLK_RANK,PCT_BLK_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,DEF_WS_RANK,G,CONTESTED_SHOTS,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,SCREEN_AST_PTS,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LOOSE_BALLS_RECOVERED,PCT_LOOSE_BALLS_RECOVERED_OFF,PCT_LOOSE_BALLS_RECOVERED_DEF,OFF_BOXOUTS,DEF_BOXOUTS,BOX_OUT_PLAYER_TEAM_REBS,BOX_OUT_PLAYER_REBS,BOX_OUTS,PCT_BOX_OUTS_OFF,PCT_BOX_OUTS_DEF,PCT_BOX_OUTS_TEAM_REB,PCT_BOX_OUTS_REB,DEF_PLAYER_ID,DEF_PLAYER_NAME,avg_fg_pct_allowed,avg_3fg_pct_allowed,total_possessions,BLK_score,OPP_PTS_PAINT_score,DEF_RATING_score,rim_protection_score,CONTESTED_SHOTS_2PT_score,CONTESTED_SHOTS_3PT_score,shot_contesting_score,DEFLECTIONS_score,STL_score,CHARGES_DRAWN_score,ball_disruption_score,avg_fg_pct_allowed_score,avg_3fg_pct_allowed_score,on_ball_matchup_def_score,DREB_score,DEF_BOXOUTS_score,def_reb_score
1,1631260,AJ Green,AJ,1610612749,MIL,26.0,78,31,47,0.397,2269.9333333333334,116.7,184,0.08,0.12,39,0.111,8,0.042,812.0,648.0,677.0,2060.0,4.72,4.721945261423365,28,188,548,387,41,442,173,488,503,239,523,341,503,541,525,524,506,154,78,304,171,133,110,3,28,64,11,26,37,0.297,0.703,0,36,36,9,36,0.0,1.0,1.0,0.25,1631260,AJ Green,0.3485264483627204,0.1821964735516372,4579.8,1.5625,58.2089552238806,32.39436619718306,29.096725877653974,18.13110181311018,35.80786026200873,28.737156882449312,19.366197183098592,3.4782608695652173,10.344827586206897,11.550077074138986,31.6631447588344,25.48186652914849,28.572505643991445,14.492753623188406,22.22222222222222,17.971014492753625
7,1642846,Ace Bailey,Ace,1610612762,UTA,19.0,72,19,53,0.264,1987.6433333333337,120.4,198,0.097,0.15,60,0.164,49,0.302,769.0,678.0,768.0,2194.0,2.0,2.003692786200593,84,316,568,479,82,523,154,381,394,112,391,62,119,522,532,556,526,320,72,346,190,156,111,0,18,38,26,14,40,0.65,0.35,3,24,27,10,27,0.111,0.889,1.0,0.37,1642846,Ace Bailey,0.2843598014888337,0.1512208436724565,4199.8,22.916666666666664,50.5166475315729,15.023474178403703,30.60336184731811,20.781032078103205,45.851528384279476,35.82332986180897,19.718309859154928,21.73913043478261,0.0,15.496019595835886,80.60771272430739,52.588164917153335,66.59793882073036,17.02898550724638,13.88888888888889,15.61594202898551
19,1630578,Alperen Sengun,Alperen,1610612745,HOU,23.0,72,46,26,0.639,2397.695,113.7,425,0.177,0.272,85,0.197,77,0.301,927.0,795.0,769.0,2448.0,7.04,7.0363221540244485,84,52,338,140,25,325,16,99,103,43,279,22,122,570,572,557,551,71,71,616,420,196,164,6,159,369,34,18,52,0.654,0.346,49,70,116,83,119,0.412,0.588,0.983,0.703,1630578,Alperen Sengun,0.3801,0.2113157894736842,4697.4,37.5,35.93570608495982,46.47887323943659,39.197215439595084,52.859135285913524,63.31877729257642,59.13492048991126,38.38028169014084,43.47826086956522,20.689655172413794,35.74191777350761,7.57970079986542,0.0,3.78985039993271,58.152173913043484,45.83333333333333,52.60869565217392
21,1641708,Amen Thompson,Amen,1610612745,HOU,23.0,79,49,30,0.62,2953.15,110.4,379,0.123,0.189,119,0.225,48,0.137,1132.0,886.0,909.0,3074.0,11.54,11.540317630227388,25,37,395,160,1,174,34,268,272,8,180,68,306,580,581,579,582,5,79,300,199,101,213,1,36,87,34,33,67,0.507,0.493,16,22,38,27,38,0.421,0.579,1.0,0.711,1641708,Amen Thompson,0.2931984732824427,0.1184631043256997,5847.3,22.395833333333336,0.0,61.971830985915446,24.451291079812194,22.03626220362622,21.83406113537118,21.914941562673192,55.633802816901415,73.04347826086956,3.4482758620689653,48.68080748358215,73.86581497208346,81.25395995386633,77.5598874629749,49.81884057971014,12.5,33.02536231884058
26,1629614,Andrew Nembhard,Andrew,1610612754,IND,26.0,57,13,44,0.228,1785.5933333333332,119.3,135,0.075,0.115,51,0.202,8,0.047,670.0,568.0,535.0,2114.0,2.37,2.3696537557515227,235,384,533,511,116,504,248,508,517,168,264,341,498,479,478,456,515,294,57,141,90,51,94,1,26,57,18,13,31,0.581,0.419,0,15,15,2,15,0.0,1.0,1.0,0.133,1629614,Andrew Nembhard,0.3459064516129032,0.1220870967741935,3710.4,1.5625,55.109070034443164,20.187793427230037,24.960122868862616,6.834030683403068,0.0,2.7336122733612274,13.732394366197184,13.91304347826087,3.4482758620689653,11.224591929387419,33.66160681409467,78.08265977214594,55.87213329312031,5.615942028985507,7.638888888888889,6.526268115942029
27,203952,Andrew Wiggins,Andrew,1610612748,MIA,31.0,68,35,33,0.515,2062.598333333334,113.9,214,0.098,0.149,76,0.207,69,0.369,684.0,674.0,647.0,2334.0,5.95,5.950779095640668,135,162,435,290,68,336,135,378,399,61,242,31,87,485,531,510,539,92,68,515,273,242,152,0,8,19,24,15,39,0.615,0.385,10,40,47,21,50,0.2,0.8,0.94,0.42,203952,Andrew Wiggins,0.3027203389830508,0.1598333333333333,4389.0,33.33333333333333,42.47990815154994,45.539906103286334,39.58627771219739,32.357043235704325,83.4061135371179,62.98648541655247,34.154929577464785,35.65217391304348,0.0,26.14023270055113,66.60279554304141,45.05150737308057,55.82715145806099,19.92753623188406,25.0,22.210144927536234
29,1641710,Anthony Black,Anthony,1610612753,ORL,22.0,64,36,28,0.563,1910.05,113.1,197,0.101,0.154,91,0.273,45,0.207,649.0,534.0,626.0,2018.0,5.93,5.928348757888354,180,151,364,229,95,298,156,364,383,32,88,73,216,469,450,507,499,94,64,266,142,124,194,3,19,46,8,21,29,0.276,0.724,0,21,21,7,21,0.0,1.0,1.0,0.333,1641710,Anthony Black,0.349683284457478,0.1395278592375366,3914.6,20.833333333333336,60.61997703788749,49.29577464788733,41.874268958565786,14.086471408647142,31.877729257641924,24.761226118044014,48.943661971830984,48.69565217391305,10.344827586206897,39.207149946153685,30.780741740704787,62.82051616797537,46.80062895434008,16.847826086956523,11.805555555555555,14.578804347826088
31,1630162,Anthony Edwards,Anthony,1610612750,MIN,24.0,61,37,24,0.607,2136.5933333333332,114.3,266,0.12,0.179,83,0.226,49,0.209,774.0,602.0,700.0,2292.0,5.83,5.825825957332806,210,136,309,170,60,358,82,282,302,48,175,62,213,526,501,534,535,98,61,251,148,103,133,0,7,19,24,15,39,0.615,0.385,0,17,17,9,17,0.0,1.0,1.0,0.529,1630162,Anthony Edwards,0.309227414330218,0.1533302180685358,4372.5,22.916666666666664,44.89092996555683,43.661971830985905,35.79398511235803,14.923291492329149,22.707423580786028,19.593770745403276,27.464788732394368,41.73913043478261,0.0,25.59461114513166,61.63937596134139,50.74228375137362,56.19082985635751,29.347826086956523,9.027777777777777,20.20380434782609
36,1641709,Ausar Thompson,Ausar,1610612765,DET,23.0,73,53,20,0.726,1895.61,107.2,268,0.135,0.203,146,0.364,69,0.284,683.0,543.0,512.0,1704.0,9.15,9.147361176051191,78,19,251,69,98,89,79,223,236,3,21,31,138,483,460,442,442,20,73,309,160,149,321,2,37,88,28,33,61,0.459,0.541,11,10,20,15,21,0.524,0.476,1.0,0.75,1641709,Ausar Thompson,0.2793259668508287,0.1429226519337016,3869.3,33.33333333333333,78.64523536165328,76.99530516431922,60.107992000991786,16.596931659693166,42.79475982532751,32.31562855907377,93.66197183098592,96.52173913043478,6.896551724137931,72.97153535908102,84.44738447856037,59.84978517246085,72.14858482551061,29.71014492753623,4.166666666666666,18.21557971014493
37,1630559,Austin Reaves,Austin,1610612747,LAL,28.0,51,36,15,0.706,1761.65,112.3,207,0.117,0.174,56,0.175,20,0.123,629.0,478.0,544.0,1878.0,5.89,5.893018251164724,291,151,187,82,121,262,143,297,323,137,350,209,343,462,414,460,470,95,51,153,83,70,114,15,16,36,20,20,40,0.5,0.5,0,12,12,3,12,0.0,1.0,1.0,0.25,1630559,Austin Reaves,0.3446090909090909,0.1187666666666666,3589.8,7.8125,68.65671641791045,53.05164319248825,40.417761544390714,5.857740585774058,8.296943231441048,7.321262173174252,20.774647887323944,18.26086956521739,51.724137931034484,27.632197985514285,34.651198170929526,80.98831720743293,57.81975768918123,18.65942028985507,5.555555555555555,12.76268115942029
38,1630245,Ayo Dosunmu,Ayo,1610612750,MIN,26.0,69,36,33,0.522,1881.0433333333333,113.2,190,0.093,0.143,58,0.178,18,0.089,723.0,629.0,534.0,2002.0,5.84,5.840618694113976,118,151,435,287,100,300,162,410,420,123,334,224,418,506,516,455,495,97,67,248,147,101,83,4,10,26,20,18,38,0.526,0.474,1,16,17,9,17,0.059,0.941,1.0,0.529,1630245,Ayo Dosunmu,0.2812184210526315,0.1097342105263157,3915.3,6.770833333333333,61.53846153846154,48.82629107981217,36.45336764174791,14.783821478382148,21.83406113537118,19.013965272575568,9.859154929577464,20.0,13.793103448275861,14.391937833899952,83.00387203378938,88.89248097333193,85.94817650356066,15.579710144927535,8.333333333333332,12.318840579710145
39,1628389,Bam Adebayo,Bam,1610612748,MIA,28.0,73,37,36,0.507,2364.685,111.0,583,0.236,0.344,86,0.209,49,0.265,736.0,646.0,659.0,2494.0,8.63,8.628632656291693,78,136,472,301,29,210,5,24,32,40,231,62,159,510,522,519,556,30,73,498,300,198,176,2,85,189,22,16,38,0.579,0.421,22,138,155,105,160,0.138,0.863,0.969,0.656,1628389,Bam Adebayo,0.335260989010989,0.1593873626373626,4960.3,22.916666666666664,33.295063145809415,59.15492957746476,35.60867116206615,36.122733612273365,64.19213973799127,52.9643772877041,42.6056338028169,44.34782608695652,6.896551724137931,34.288130582596025,41.78167531116509,45.441769485729736,43.61172239844741,86.77536231884058,93.05555555555556,89.60144927536231
43,1631097,Bennedict Mathurin,Bennedict,1610612746,LAC,24.0,54,22,32,0.407,1620.015,115.3,238,0.142,0.225,43,0.149,13,0.068,551.0,528.0,422.0,1764.0,4.14,4.13707776625956,266,277,424,380,144,401,107,187,188,214,438,272,462,410,444,384,454,183,54,143,83,60,68,1,11,24,11,8,19,0.579,0.421,6,22,28,16,28,0.214,0.786,1.0,0.571,1631097,Bennedict Mathurin,0.3236523076923077,0.1415846153846154,3329.9,4.166666666666666,75.20091848450058,38.96713615023473,37.72877217380055,5.857740585774058,3.9301310043668125,4.701174836929711,4.577464788732395,6.956521739130435,3.4482758620689653,5.127837489705851,50.63646077172407,61.02068042447198,55.828570598098025,24.27536231884058,12.5,18.97644927536232
49,1626171,Bobby Portis Jr.,Bobby,1610612749,MIL,31.0,67,26,41,0.388,1619.3133333333333,118.4,339,0.198,0.313,41,0.175,12,0.101,572.0,523.0,496.0,1644.0,2.57,2.5732603446897375,147,231,515,395,145,489,43,60,55,227,348,277,390,421,442,431,433,284,67,353,181,172,110,1,64,137,12,15,27,0.444,0.556,21,66,85,54,87,0.241,0.759,0.977,0.621,1626171,Bobby Portis Jr.,0.383223188405797,0.1516869565217391,3239.4,3.6458333333333335,82.08955223880598,24.413145539906054,36.292963001891934,19.525801952580196,52.838427947598255,39.51337754959103,19.366197183098592,5.217391304347826,3.4482758620689653,10.434634795278418,5.197417874953566,52.1802767152211,28.68884729508733,42.572463768115945,43.05555555555556,42.78985507246377
55,1641764,Brandin Podziemski,Brandin,1610612744,GSW,23.0,82,37,45,0.451,2332.673333333333,110.4,347,0.147,0.227,88,0.199,15,0.072,957.0,755.0,712.0,2446.0,9.09,9.085293313927767,1,136,541,358,33,172,39,169,184,35,272,251,452,575,561,538,550,23,81,212,114,98,149,23,45,114,13,18,31,0.419,0.581,7,24,30,15,31,0.226,0.774,0.968,0.484,1641764,Brandin Podziemski,0.3238649999999999,0.129665,4708.5,5.208333333333334,36.05051664753157,61.971830985915446,30.193971906448247,10.181311018131103,20.52401746724891,16.38693488760179,33.098591549295776,46.08695652173913,79.3103448275862,49.19745760922356,50.47422488101226,71.4513529417336,60.96278891137293,44.02173913043478,13.88888888888889,30.461956521739133
